ISBN,Title,DateAdded,Status,Binding,PrintPrice,UKRRP,EURRRP,USARRP,ColourPages,MonoPages,Weight,TextStock,CoverStock,FinishedSize,Publisher,Imprint Name
9.78176E+12,The Quite Habit of Giving,23/8/2025 06:33,Active,Perfect Bound,1.69,,,,0,62,94g,White 80gsm Bond,Cover Board,138 x 216 (w x h),,
9.6192E+12,American Renewal Extended Trilogy,30/7/2025 07:04,Active,Bundle,14.88,69.95,84.95,99.95,0,0,1646g,N/A,N/A,0 x 0 (w x h),Vincent Press,Vincent Press
9.78176E+12,American Redemption Extended Edition,29/7/2025 06:13,Active,Perfect Bound,7.01,21.99,26.99,29.95,0,576,825g,White 80gsm Bond,Cover Board,152 x 229 (w x h),Vincent Press,Vincent Press
9.6192E+12,American Renewal Trilogy,27/7/2025 22:21,Active,Bundle,10.93,49.95,54.95,64.95,0,0,1113g,N/A,N/A,0 x 0 (w x h),Vincent Press,Vincent Press
9.78176E+12,American Redemption,27/7/2025 09:22,Active,Perfect Bound,4.67,22.99,27.99,29.95,0,350,509g,White 80gsm Bond,Cover Board,152 x 229 (w x h),Vincent Press,Vincent Press
9.78176E+12,Every Day,13/7/2025 20:42,Active,Perfect Bound,2.62,9.99,10.49,12.95,0,152,234g,White 80gsm Bond,Cover Board,152 x 229 (w x h),Vincent Press,Vincent Press
9.78176E+12,American Restoration Extended Edition,12/7/2025 08:47,Active,Perfect Bound,5.29,17.99,20.99,22.95,0,410,593g,White 80gsm Bond,Cover Board,152 x 229 (w x h),Vincent Press,Vincent Press
9.78176E+12,American Restoration,12/7/2025 07:59,Active,Perfect Bound,4.07,17.99,20.99,22.95,0,292,429g,White 80gsm Bond,Cover Board,152 x 229 (w x h),Vincent Press,Vincent Press
9.78176E+12,American Renewal Extended Edition,12/7/2025 03:31,Active,Perfect Bound,2.58,14.99,16.99,17.95,0,148,228g,White 80gsm Bond,Cover Board,152 x 229 (w x h),Vincent Press,Vincent Press
9.78176E+12,American Renewal,12/7/2025 02:19,Active,Perfect Bound,2.19,10.99,12.99,14.95,0,110,175g,White 80gsm Bond,Cover Board,152 x 229 (w x h),Vincent Press,Vincent Press
9.6192E+12,The Democracy Clock (Hardback),24/1/2026 19:20,Active,Bundle,32.55,,,,0,0,3006g,N/A,N/A,0 x 0 (w x h),,
9.6192E+12,The Democracy Clock (Paperback),24/1/2026 19:20,Active,Bundle,24.3,,,,0,0,2667g,N/A,N/A,0 x 0 (w x h),,
9.78176E+12,The Democracy Clock,24/1/2026 19:06,Active,Case Bound - PPC,10.94,29.99,34.99,39.95,0,690,1083g,White 80gsm Bond,150gsm PPC,152 x 229 (w x h),Vincent Press,Vincent Press 
9.78176E+12,The Democracy Clock,24/1/2026 19:02,Active,Perfect Bound,8.19,29.99,34.99,39.95,0,690,984g,White 80gsm Bond,Cover Board,152 x 229 (w x h),Vincent Press,Vincent Press
9.78176E+12,"The Democracy Clock Event Log, Volume II",24/1/2026 19:18,Approve Files,Case Bound - PPC,10.76,,,,0,448,956g,White 80gsm Bond,150gsm PPC,178 x 254 (w x h),,
9.78176E+12,"The Democracy Clock Event Log, Volume II",24/1/2026 19:15,Approve Files,Perfect Bound,8.01,,,,0,448,836g,White 80gsm Bond,Cover Board,178 x 254 (w x h),,
9.78176E+12,"The Democracy Clock Event Log, Volume I",24/1/2026 19:13,Approve Files,Case Bound - PPC,10.85,37.99,42.99,49.95,0,454,967g,White 80gsm Bond,150gsm PPC,178 x 254 (w x h),Vincent Press,Vincent Press 
9.78176E+12,"The Democracy Clock Event Log, Volume I",24/1/2026 19:11,Approve Files,Perfect Bound,8.1,29.99,34.99,39.95,0,454,847g,White 80gsm Bond,Cover Board,178 x 254 (w x h),Vincent Press,Vincent Press 
